행정동,순찰장소,address,description,중점 활동사항
강매동,강매동 단독주택 일대,경기도 고양시 덕양구 강매동 188-4,"#### [112신고]
- 강매동 2024년 4월 112신고 29건 발생
#### [5대범죄]
- 5대범죄는 총 2건 발생
- 성범죄 0건, 절도 2건, 폭력 0건
#### [활동 시 주요 착안내용]
112신고, 5대범죄 발생이 적은 장소입니다.",
고양동,고양동 시장 인근,경기도 고양시 덕양구 고양동 131,"#### [112신고]
- 고양동 2024년 4월 112신고 403건 발생
#### [5대범죄]
- 5대범죄는 총 16건 발생
- 성범죄 0건, 절도 4건, 폭력 12건
#### [활동 시 주요 착안내용]
무인점포 절도예방활동 및 가시적 순찰을 통한 폭력 예방이 필요한 장소입니다.",
관산동,관산 한승미메이드 아파트 인근,경기도 고양시 덕양구 관산동 228-2,"#### [112신고]
- 관산동 2024년 4월 112신고 402건 발생
#### [5대범죄]
- 5대범죄는 총 15건 발생
- 성범죄 0건, 절도 4건, 폭력 11건
#### [활동 시 주요 착안내용]
- 소액 절도가 많이 발생하는 지역이며 가시적인 순찰활동을 통해 폭력예방이 필요합니다.",
내곡동,대곡초등학교 뒷편,경기도 고양시 덕양구 내곡동 64-4,"#### [112신고]
- 내곡동 2024년 4월 112신고 17건 발생
#### [5대범죄]
- 5대범죄는 총 2건 발생
- 성범죄 0건, 절도 2건, 폭력 0건
#### [활동 시 주요 착안내용]
112신고, 5대범죄 발생이 모두 적은곳입니다.",
내유동,관산파출소 여성안심귀갓길 일대,경기도 고양시 덕양구 내유동 646-48,"#### [112신고]
- 내유동 2024년 4월 112신고 240건 발생
#### [5대범죄]
- 5대범죄는 총 6건 발생
- 성범죄 1건, 절도 0건, 폭력 5건
#### [활동 시 주요 착안내용]
- 가시적 순찰활동을 통해 폭력예방이 필요한 지역입니다.",
대자동,필리핀 참전비 일대,경기도 고양시 덕양구 대자동 1145,"#### [112신고]
- 대자동 2024년 4월 112신고 100건 발생
#### [5대범죄]
- 5대범죄는 총 4건 발생
- 성범죄 0건, 절도 1건, 폭력 3건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
대장동,상중대장 2공원 일대,경기도 고양시 덕양구 대장동 316-2,"#### [112신고]
- 대장동 2024년 4월 112신고 71건 발생
#### [5대범죄]
- 5대범죄는 총 2건 발생
- 성범죄 0건, 절도 0건, 폭력 2건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
덕은동,DMC자이 아파트 일대,경기도 고양시 덕양구 덕은동 712,"#### [112신고]
- 덕은동 2024년 4월 112신고 242건 발생
#### [5대범죄]
- 5대범죄는 총 11건 발생
- 성범죄 0건, 절도 4건, 폭력 7건
#### [활동 시 주요 착안내용]
- 아파트 건설로 인한 거주인구 증가로 인해 112신고, 범죄발생이 증가하는 장소입니다. ",
도내동,원흥 베네하임 5차 일대,경기도 고양시 덕양구 도내동 951,"#### [112신고]
- 도내동 2024년 4월 112신고 275건 발생
#### [5대범죄]
- 5대범죄는 총 16건 발생
- 성범죄 1건, 절도 6건, 폭력 9건
#### [활동 시 주요 착안내용]
- 폭력이 가장 많이 발생하였으며 절도, 성범죄 순으로 발생하였습니다.",
동산동,e편한 세상 삼송3차 인근,경기도 고양시 덕양구 동산동 110-5,"#### [112신고]
- 동산동 2024년 4월 112신고 231건 발생
#### [5대범죄]
- 5대범죄는 총 30건 발생
- 성범죄 0건, 절도 21건, 폭력 8건
#### [활동 시 주요 착안내용]
- 타 지역 대비 절도가 압도적으로 많은 장소로 절도예방 위주 활동이 필요",
삼송동,삼송역 5번출구,경기도 고양시 덕양구 삼송동 27-1,"#### [112신고]
- 삼송동 2024년 4월 112신고 372건 발생
#### [5대범죄]
- 5대범죄는 총 13건 발생
- 성범죄 0건, 절도 2건, 폭력 11건
#### [활동 시 주요 착안내용]
- 야간 음주로 인한 112신고, 폭력이 많이 발생하는 장소입니다.",
선유동,백두산 낚시터 인근,경기도 고양시 덕양구 선유동 294,"#### [112신고]
- 선유동 2024년 4월 112신고 2건 발생
#### [5대범죄]
- 5대범죄는 총 2건 발생
- 성범죄 0건, 절도 0건, 폭력 2건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
성사동,원당지구대 여성안심귀갓길,경기도 고양시 덕양구 성사동 703-4,"#### [112신고]
- 성사동 2024년 4월 112신고 614건 발생
#### [5대범죄]
- 5대범죄는 총 23건 발생
- 성범죄 0건, 절도 7건, 폭력 16건
#### [활동 시 주요 착안내용]
- 5대범죄 중 폭력이 가장 많이 발생하였으며 특히 여성안심귀갓길 위주 집중적인 순찰활동이 필요한 장소입니다.",
오금동,고양 삼송 한강 듀클래스 일대,경기도 고양시 덕양구 오금동 687,"#### [112신고]
- 오금동 2024년 4월 112신고 42건 발생
#### [5대범죄]
- 5대범죄는 총 2건 발생
- 성범죄 0건, 절도 1건, 폭력 1건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
용두동,창릉천 인근,경기도 고양시 덕양구 용두동 568-8,"#### [112신고]
- 용두동 2024년 4월 112신고 72건 발생
#### [5대범죄]
- 5대범죄는 총 4건 발생
- 성범죄 0건, 절도 1건, 폭력 3건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
원당동,봉평 고향막국수 일대,경기도 고양시 덕양구 원당동 184-13,"#### [112신고]
- 원당동 2024년 4월 112신고 41건 발생
#### [5대범죄]
- 5대범죄는 총 4건 발생
- 성범죄 0건, 절도 0건, 폭력 4건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
원흥동,원흥역 인근 유흥지점,경기도 고양시 덕양구 원흥동 631,"#### [112신고]
- 원흥동 2024년 4월 112신고 402건 발생
#### [5대범죄]
- 5대범죄는 총 23건 발생
- 성범죄 0건, 절도 6건, 폭력 17건
#### [활동 시 주요 착안내용]
- 5대범죄 중 폭력이 가장 많이 발생하였으며 거점, 도보순찰을 통한 가시적 순찰활동이 필요한 지역입니다.",
주교동,거보아파트 일대,경기도 고양시 덕양구 주교동 585-6,"#### [112신고]
- 주교동 2024년 4월 112신고 399건 발생
#### [5대범죄]
- 5대범죄는 총 20건 발생
- 성범죄 1건, 절도 1건, 폭력 18건
#### [활동 시 주요 착안내용]
- 5대범죄 중 폭력이 가장 많이 발생하였으며 순찰활동 시 가시적 순찰을 집중 실시합니다.",
지축동,지축역 앞 단독주택 단지 일대,경기도 고양시 덕양구 지축동 1007-2,"#### [112신고]
- 지축동 2024년 4월 112신고 262건 발생
#### [5대범죄]
- 5대범죄는 총 14건 발생
- 성범죄 0건, 절도 3건, 폭력 11건
#### [활동 시 주요 착안내용]
- 야간 주취자로 인한 신고가 많이 발생하는 장소로 폭력범죄가 많이 발생하는 지역입니다.",
토당동,"능곡1단지 뒷편, 토당어린이공원 일대",경기도 고양시 덕양구 토당동 837-5,"#### [112신고]
- 토당동 2024년 4월 112신고 480건 발생
#### [5대범죄]
- 5대범죄는 총 34건 발생
- 성범죄 1건, 절도 14건, 폭력 19건
#### [활동 시 주요 착안내용]
- 재개발 등으로 공폐가가 많은 지역으로
절도, 폭력 등 다양한 범죄예방활동이 필요한 지역입니다.",
행신동,행신역 앞 유흥주점 일대,경기도 고양시 덕양구 행신동 762,"#### [112신고]
- 행신동 2024년 4월 112신고 1362건 발생
#### [5대범죄]
- 5대범죄는 총 41건 발생
- 성범죄 1건, 절도 15건, 폭력 25건
#### [활동 시 주요 착안내용]
- 주민 거주인구가 많은 지역으로 무인점포 절도, 유흥주점 밀집 지역 위주 가시적 순찰활동이 필요한 지역입니다.",
행주내동,행신동 원조국수 인근,경기도 고양시 덕양구 행주내동 160-6,"#### [112신고]
- 행주내동 2024년 4월 112신고 62건 발생
#### [5대범죄]
- 5대범죄는 총 1건 발생
- 성범죄 0건, 절도 0건, 폭력 1건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
행주외동,행주산성공원 일대,경기도 고양시 덕양구 행주외동 101-30,"#### [112신고]
- 행주외동 2024년 4월 112신고 79건 발생
#### [5대범죄]
- 5대범죄는 총 1건 발생
- 성범죄 0건, 절도 0건, 폭력 1건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
향동동,향동초등학교 인근,경기도 고양시 덕양구 향동동 109-1,"#### [112신고]
- 향동동 2024년 4월 112신고 181건 발생
#### [5대범죄]
- 5대범죄는 총 9건 발생
- 성범죄 0건, 절도 7건, 폭력 2건
#### [활동 시 주요 착안내용]
- 상업지구가 존재하여 절도 발생이 많은 지역입니다.
특히 무인점포 위주 가시적 순찰활동이 필요합니다.",
현천동,난지물 재생센터 인근,경기도 고양시 덕양구 현천동 689-12,"#### [112신고]
- 현천동 2024년 4월 112신고 399건 발생
#### [5대범죄]
- 5대범죄는 총 3건 발생
- 성범죄 0건, 절도 2건, 폭력 1건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
화전동,한국항공대역 일대,고양시 덕양구 화전동 576-36,"#### [112신고]
- 화전동 2024년 4월 112신고 119건 발생
#### [5대범죄]
- 5대범죄는 총 5건 발생
- 성범죄 0건, 절도 2건, 폭력 2건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
화정동,화정동 로데오거리,고양시 덕양구 화정동 981-1,"#### [112신고]
- 화정동 2024년 4월 112신고 1149건 발생
#### [5대범죄]
- 5대범죄는 총 79건 발생
- 성범죄 0건, 절도 47건, 폭력 31건
#### [활동 시 주요 착안내용]
- 절도, 폭력이 고양경찰서 관내 가장 많이 발생하는 장소로
무인점포 예방, 가시적 순찰활동을 통한 예방활동을 바탕으로
취약지역 발견 시 CPO에게 통보하여 예방책을 마련하는 등 다양한 활동이 필요합니다.",
